품목명,단위,등급,가격,산지,친환경구분,입력일
[쑥갓]쑥갓,4kg,특(1등),9500,경기 광주시,일반,20210809
[수박]수박(꼭지절단),7kg,특(1등),12500,강원 양구군,일반,20210809
[수박]수박(꼭지절단),7kg,특(1등),12000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),8kg,상(2등),10000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),17kg,특(1등),36000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),15kg,특(1등),35000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),16kg,특(1등),35000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),18kg,특(1등),34000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),14kg,특(1등),34000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),19kg,특(1등),33000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),15kg,특(1등),32000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),12kg,특(1등),32000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),11kg,특(1등),32000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),10kg,특(1등),32000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),14kg,특(1등),32000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),13kg,특(1등),32000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),13kg,특(1등),31000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),9kg,특(1등),31000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),10kg,특(1등),31000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),8kg,특(1등),30000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),9kg,특(1등),30000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),8kg,특(1등),29000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),8kg,특(1등),28000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),11kg,특(1등),27000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),7kg,특(1등),26000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),7kg,특(1등),24000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),12kg,특(1등),23000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),17kg,상(2등),21000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),11kg,특(1등),20000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),6kg,특(1등),20000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),18kg,상(2등),19000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),16kg,상(2등),18000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),6kg,특(1등),18000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),15kg,상(2등),17000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),10kg,특(1등),16000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),14kg,상(2등),14000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),11kg,특(1등),10000,강원 양구군,일반,20210809
[수박]수박(꼭지절단),8kg,특(1등),9300,충남 논산시,일반,20210809
[수박]수박(꼭지절단),8kg,특(1등),9200,충남 논산시,일반,20210809
[수박]수박(꼭지절단),7kg,특(1등),8000,충남 논산시,일반,20210809
[수박]수박(꼭지절단),6kg,특(1등),6600,충남 논산시,일반,20210809
[수박]수박(꼭지절단),6kg,특(1등),6500,충남 논산시,일반,20210809
[수박]수박(꼭지절단),5kg,특(1등),3500,충남 논산시,일반,20210809
[수박]수박(꼭지절단),4kg,특(1등),3000,충남 논산시,일반,20210809
[수박]수박(꼭지절단),10kg,특(1등),11000,충남 논산시,일반,20210809
[수박]수박(꼭지절단),9kg,특(1등),10000,충남 논산시,일반,20210809
[수박]수박(꼭지절단),7kg,특(1등),9500,강원 양구군,일반,20210809
[수박]수박(꼭지절단),17kg,특(1등),33000,충북 음성군,일반,20210809
[수박]수박(꼭지절단),14kg,특(1등),22000,충북 음성군,일반,20210809
[수박]수박(꼭지절단),13kg,특(1등),20000,충북 음성군,일반,20210809
[수박]수박(꼭지절단),12kg,특(1등),17000,충북 음성군,일반,20210809
[수박]수박(꼭지절단),11kg,특(1등),16500,충북 음성군,일반,20210809
[수박]수박(꼭지절단),10kg,특(1등),13500,충북 음성군,일반,20210809
[수박]수박(꼭지절단),8kg,특(1등),9000,충북 음성군,일반,20210809
[수박]수박(꼭지절단),12kg,상(2등),8000,충북 음성군,일반,20210809
